ID,assists,bonus,bps,CS,creativity,Gc,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,yellow_cards,starts,xG,expected_assists,expected_goal_involvements,xGc,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,added,chance_of_playing_next_round,chance_of_playing_this_round,code,event_points,form,news,news_added,news_return,news_updated,squad_number,total_points,web_name,position,team,name
1,0,3,228,7,10.2,7,0,19.7,186.4,1170,0,0,0,0,20,0.0,1,13,0.00,0.04,0.04,7.03,9,99,0,0,2025-07-20T23:14:20.847821Z,,,154561,3,2.0,,,,,,58,Raya,GK,Arsenal,David Raya Martín
2,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:20.851790Z,,,109745,0,0.0,,,,,,0,Arrizabalaga,GK,Arsenal,Kepa Arrizabalaga Revuelta
3,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:20.854758Z,0.0,0.0,463748,0,0.0,Has joined Werder Bremen on loan for the rest of the season.,2025-08-26T13:44:02.357864Z,,,,0,Hein,GK,Arsenal,Karl Hein
4,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:20.857598Z,,,551221,0,0.0,,,,,,0,Setford,GK,Arsenal,Tommy Setford
5,2,13,279,7,62.6,5,1,46.9,318.6,990,0,0,0,0,0,88.0,1,11,0.82,0.69,1.51,6.17,88,15,12,100,2025-07-20T23:14:20.860426Z,0.0,0.0,226597,0,0.3,Thigh injury - Unknown return date,2025-11-17T12:00:07.436586Z,,,,81,Gabriel,DEF,Arsenal,Gabriel dos Santos Magalhães
6,0,1,190,5,35.6,4,0,23.7,185.2,814,0,0,0,0,0,16.0,0,10,0.29,0.24,0.53,4.72,51,35,11,62,2025-07-20T23:14:20.863206Z,75.0,100.0,462424,0,1.0,Knock - 75% chance of playing,2025-11-30T22:30:08.957329Z,,,,41,Saliba,DEF,Arsenal,William Saliba
7,2,3,227,7,92.8,6,1,45.3,174.6,991,0,0,0,0,0,187.0,4,13,2.31,0.29,2.60,5.18,44,48,19,63,2025-07-20T23:14:20.865942Z,100.0,100.0,466075,0,1.0,,2025-11-17T12:30:07.209393Z,,,,63,Calafiori,DEF,Arsenal,Riccardo Calafiori
8,3,7,271,6,197.0,7,2,70.4,263.2,1061,0,0,0,0,0,242.0,2,12,2.88,0.71,3.59,5.93,31,41,37,68,2025-07-20T23:14:20.868571Z,,,445122,2,2.7,,,,,,74,J.Timber,DEF,Arsenal,Jurriën Timber
9,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:20.871241Z,0.0,0.0,440854,0,0.0,has joined Porto on loan for the rest of the season.,2025-09-02T13:37:25.929594Z,,,,0,Kiwior,DEF,Arsenal,Jakub Kiwior
10,0,0,21,0,9.4,1,0,2.3,10.4,132,0,0,0,0,0,4.0,2,0,0.00,0.02,0.02,1.47,6,10,2,8,2025-07-20T23:14:20.873941Z,,,499169,0,0.3,,,,,,7,Lewis-Skelly,DEF,Arsenal,Myles Lewis-Skelly
11,0,0,23,1,11.3,0,0,2.8,15.4,70,0,0,0,0,0,1.0,0,1,0.01,0.01,0.02,0.87,6,4,2,8,2025-07-20T23:14:20.876551Z,100.0,100.0,198869,0,0.0,,2025-09-18T04:00:07.778280Z,,,,6,White,DEF,Arsenal,Benjamin White
12,0,0,46,0,52.4,4,0,13.0,62.6,253,0,0,0,0,0,15.0,0,3,0.04,0.30,0.34,3.45,11,12,10,21,2025-07-20T23:14:20.879225Z,0.0,0.0,206325,0,0.0,Muscle injury - Unknown return date,2025-10-24T09:00:07.804001Z,,,,5,Zinchenko,DEF,Nottingham Forest,Oleksandr Zinchenko
13,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:20.881915Z,,,563324,0,0.0,,,,,,0,Clarke,DEF,Arsenal,Brayden Clarke
14,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:20.884824Z,0.0,0.0,588793,0,0.0,has joined Morecambe on loan for the rest of the season.,2025-09-22T21:14:30.857843Z,,,,0,Kacurri,DEF,Arsenal,Maldini Kacurri
15,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:20.887570Z,,,499167,0,0.0,,,,,,0,Nichols,DEF,Arsenal,Josh Nichols
16,1,5,189,5,301.2,5,3,81.2,233.6,861,0,0,0,0,0,277.0,0,10,2.71,2.93,5.64,5.29,7,53,15,75,2025-07-20T23:14:20.890259Z,100.0,100.0,223340,5,7.0,,2025-08-23T22:30:05.759392Z,,,,54,Saka,MID,Arsenal,Bukayo Saka
17,1,0,50,1,67.8,1,0,13.4,44.4,234,0,0,0,0,0,22.0,0,4,0.14,0.85,0.99,2.63,6,12,3,21,2025-07-20T23:14:20.892944Z,100.0,100.0,184029,1,0.3,,2025-10-04T20:00:07.945438Z,,,,14,Ødegaard,MID,Arsenal,Martin Ødegaard
18,0,0,45,2,114.2,2,0,25.7,32.6,349,0,0,0,0,0,111.0,0,4,0.29,0.90,1.19,2.33,2,11,3,16,2025-07-20T23:14:20.895606Z,100.0,100.0,248857,1,0.7,,2025-09-21T22:30:05.839272Z,,,,12,Madueke,MID,Arsenal,Noni Madueke
19,0,1,59,1,31.9,1,1,18.8,53.2,270,0,0,0,0,0,102.0,0,3,0.86,0.09,0.95,2.49,3,10,3,16,2025-07-20T23:14:20.898296Z,100.0,100.0,444145,1,0.3,,2025-10-28T21:00:08.076588Z,,,,17,Martinelli,MID,Arsenal,Gabriel Martinelli Silva
20,3,6,176,4,182.8,5,3,59.1,205.2,719,0,0,0,0,0,203.0,0,8,2.14,1.23,3.37,3.67,6,26,6,38,2025-07-20T23:14:20.901062Z,75.0,75.0,116216,0,7.0,Knock - 75% chance of playing,2025-11-27T10:00:06.582480Z,,,,52,Trossard,MID,Arsenal,Leandro Trossard
21,5,10,297,6,378.1,7,2,83.3,338.4,1073,0,0,0,0,0,116.0,1,12,1.44,2.83,4.27,6.31,41,56,23,120,2025-07-20T23:14:20.903755Z,100.0,100.0,204480,4,4.0,,2025-10-04T20:00:07.968078Z,,,,75,Rice,MID,Arsenal,Declan Rice
22,2,2,132,2,92.6,5,2,37.0,157.0,590,0,0,0,0,0,124.0,0,6,1.43,0.69,2.12,3.50,13,31,13,57,2025-07-20T23:14:20.906379Z,,,195384,9,6.3,,,,,,37,Merino,MID,Arsenal,Mikel Merino Zazón
23,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:20.909051Z,0.0,0.0,438098,0,0.0,has joined Hamburger on loan for the rest of the season.,2025-09-02T13:38:06.128321Z,,,,0,Fábio Vieira,MID,Arsenal,Fábio Ferreira Vieira
24,0,0,7,0,0.1,0,0,1.4,6.4,14,0,0,0,0,0,7.0,0,0,0.05,0.00,0.05,0.05,2,2,0,4,2025-07-20T23:14:20.911699Z,100.0,100.0,128295,0,0.0,,2025-08-18T08:00:05.297235Z,,,,2,Nørgaard,MID,Arsenal,Christian Nørgaard
25,0,0,20,1,22.5,0,0,5.4,8.6,165,0,0,0,0,0,24.0,0,0,0.23,0.08,0.31,0.73,1,10,2,13,2025-07-20T23:14:20.914345Z,,,499175,0,0.3,,,,,,8,Nwaneri,MID,Arsenal,Ethan Nwaneri
26,1,4,217,7,197.0,7,2,49.9,225.6,1083,0,0,0,0,0,75.0,3,12,0.59,1.02,1.61,6.29,39,40,23,102,2025-07-20T23:14:20.916946Z,100.0,100.0,481655,0,2.3,,2025-11-01T18:30:07.784912Z,,,,50,Zubimendi,MID,Arsenal,Martín Zubimendi Ibáñez
27,0,0,15,0,2.4,1,0,2.7,16.2,31,0,0,0,0,0,9.0,0,0,0.06,0.05,0.11,0.84,2,6,2,10,2025-07-20T23:14:20.919559Z,0.0,100.0,200641,1,0.7,Ineligible to face his parent club on 3/12. - Expected back 06 Dec,2025-11-29T23:00:08.597040Z,,,,3,Nelson,MID,Brentford,Reiss Nelson
